Match,Team-Innings,Batting-Pos,Batsman,Dismissal,Runs,Balls,Minutes,4s,6s,SR,Match Number
England vs New Zealand,England,10,Adil Rashid,not out,15,13,23,0,1,115.38,1
England vs New Zealand,England,9,Chris Woakes,out,11,12,15,1,0,91.66,1
England vs New Zealand,England,2,Dawid Malan,out,14,24,36,2,0,58.33,1
England vs New Zealand,New Zealand,1,Devon Conway,not out,152,121,147,19,3,125.61,1
England vs New Zealand,England,4,Harry Brook,out,25,16,20,4,1,156.25,1
England vs New Zealand,England,3,Joe Root,out,77,86,140,4,1,89.53,1
England vs New Zealand,England,1,Jonny Bairstow,out,33,35,57,4,1,94.28,1
England vs New Zealand,England,6,Jos Buttler (c)†,out,43,42,48,2,2,102.38,1
England vs New Zealand,England,7,Liam Livingstone,out,20,22,23,3,0,90.9,1
England vs New Zealand,England,11,Mark Wood,not out,13,14,19,0,0,92.85,1
England vs New Zealand,England,5,Moeen Ali,out,11,17,20,1,0,64.7,1
England vs New Zealand,New Zealand,3,Rachin Ravindra,not out,123,96,141,11,5,128.12,1
England vs New Zealand,England,8,Sam Curran,out,14,19,30,0,0,73.68,1
England vs New Zealand,New Zealand,2,Will Young,out,0,1,5,0,0,0,1
Pakistan vs Netherlands,Netherlands,10,Aryan Dutt,out,1,2,6,0,0,50,2
Pakistan vs Netherlands,Pakistan,3,Babar Azam (c),out,5,18,20,0,0,27.77,2
Pakistan vs Netherlands,Netherlands,4,Bas de Leede,out,67,68,92,6,2,98.52,2
Pakistan vs Netherlands,Netherlands,3,Colin Ackermann,out,17,21,24,3,0,80.95,2
Pakistan vs Netherlands,Pakistan,1,Fakhar Zaman,out,12,15,14,3,0,80,2
Pakistan vs Netherlands,Pakistan,11,Haris Rauf,out,16,14,10,2,1,114.28,2
Pakistan vs Netherlands,Pakistan,9,Hasan Ali,out,0,1,2,0,0,0,2
Pakistan vs Netherlands,Pakistan,6,Iftikhar Ahmed,out,9,11,22,1,0,81.81,2
Pakistan vs Netherlands,Pakistan,2,Imam-ul-Haq,out,15,19,40,2,0,78.94,2
Pakistan vs Netherlands,Netherlands,9,Logan van Beek,not out,28,28,36,3,1,100,2
Pakistan vs Netherlands,Netherlands,2,Max O'Dowd,out,5,12,24,1,0,41.66,2
Pakistan vs Netherlands,Pakistan,7,Mohammad Nawaz,out,39,43,66,4,0,90.69,2
Pakistan vs Netherlands,Pakistan,4,Mohammad Rizwan †,out,68,75,104,8,0,90.66,2
Pakistan vs Netherlands,Netherlands,8,Roelof van der Merwe,out,4,7,18,0,0,57.14,2
Pakistan vs Netherlands,Netherlands,7,Saqib Zulfiqar,out,10,18,24,1,0,55.55,2
Pakistan vs Netherlands,Pakistan,5,Saud Shakeel,out,68,52,84,9,1,130.76,2
Pakistan vs Netherlands,Netherlands,6,Scott Edwards (c)†,out,0,2,2,0,0,0,2
Pakistan vs Netherlands,Pakistan,8,Shadab Khan,out,32,34,42,2,1,94.11,2
Pakistan vs Netherlands,Pakistan,10,Shaheen Shah Afridi,not out,13,12,23,2,0,108.33,2
Pakistan vs Netherlands,Netherlands,5,Teja Nidamanuru,out,5,9,10,1,0,55.55,2
Pakistan vs Netherlands,Netherlands,1,Vikramjit Singh,out,52,67,97,4,1,77.61,2
Afghanistan vs Bangladesh,Afghanistan,7,Azmatullah Omarzai,out,22,20,32,4,0,110,3
Afghanistan vs Bangladesh,Afghanistan,11,Fazalhaq Farooqi,not out,0,3,3,0,0,0,3
Afghanistan vs Bangladesh,Afghanistan,4,Hashmatullah Shahidi (c),out,18,38,34,2,0,47.36,3
Afghanistan vs Bangladesh,Afghanistan,2,Ibrahim Zadran,out,22,25,41,3,1,88,3
Afghanistan vs Bangladesh,Bangladesh,2,Litton Das,out,13,18,29,2,0,72.22,3
Afghanistan vs Bangladesh,Bangladesh,3,Mehidy Hasan Miraz,out,57,73,89,5,0,78.08,3
Afghanistan vs Bangladesh,Afghanistan,6,Mohammad Nabi,out,6,12,19,0,0,50,3
Afghanistan vs Bangladesh,Afghanistan,9,Mujeeb Ur Rahman,out,1,4,9,0,0,25,3
Afghanistan vs Bangladesh,Bangladesh,6,Mushfiqur Rahim †,not out,2,3,6,0,0,66.66,3
Afghanistan vs Bangladesh,Afghanistan,5,Najibullah Zadran,out,5,13,16,0,0,38.46,3
Afghanistan vs Bangladesh,Bangladesh,4,Najmul Hossain Shanto,not out,59,83,112,3,1,71.08,3
Afghanistan vs Bangladesh,Afghanistan,10,Naveen-ul-Haq,out,0,6,8,0,0,0,3
Afghanistan vs Bangladesh,Afghanistan,1,Rahmanullah Gurbaz †,out,47,62,112,4,1,75.8,3
Afghanistan vs Bangladesh,Afghanistan,3,Rahmat Shah,out,18,25,30,1,0,72,3
Afghanistan vs Bangladesh,Afghanistan,8,Rashid Khan,out,9,16,16,1,0,56.25,3
Afghanistan vs Bangladesh,Bangladesh,5,Shakib Al Hasan (c),out,14,19,24,2,0,73.68,3
Afghanistan vs Bangladesh,Bangladesh,1,Tanzid Hasan,out,5,13,19,1,0,38.46,3
South Africa vs Sri Lanka,South Africa,4,Aiden Markram,out,106,54,84,14,3,196.29,4
South Africa vs Sri Lanka,Sri Lanka,5,Charith Asalanka,out,79,65,83,8,4,121.53,4
South Africa vs Sri Lanka,Sri Lanka,7,Dasun Shanaka (c),out,68,62,86,6,3,109.67,4
South Africa vs Sri Lanka,South Africa,6,David Miller,not out,39,21,36,3,2,185.71,4
South Africa vs Sri Lanka,Sri Lanka,6,Dhananjaya de Silva,out,11,14,28,1,0,78.57,4
South Africa vs Sri Lanka,Sri Lanka,8,Dunith Wellalage,out,0,1,2,0,0,0,4
South Africa vs Sri Lanka,South Africa,5,Heinrich Klaasen,out,32,20,30,1,3,160,4
South Africa vs Sri Lanka,Sri Lanka,9,Kasun Rajitha,out,33,31,52,4,1,106.45,4
South Africa vs Sri Lanka,Sri Lanka,3,Kusal Mendis †,out,76,42,55,4,8,180.95,4
South Africa vs Sri Lanka,Sri Lanka,2,Kusal Perera,out,7,15,42,1,0,46.66,4
South Africa vs Sri Lanka,South Africa,7,Marco Jansen,not out,12,7,15,0,1,171.42,4
South Africa vs Sri Lanka,Sri Lanka,10,Matheesha Pathirana,out,5,16,25,1,0,31.25,4
South Africa vs Sri Lanka,Sri Lanka,1,Pathum Nissanka,out,0,3,6,0,0,0,4
South Africa vs Sri Lanka,South Africa,1,Quinton de Kock †,out,100,84,140,12,3,119.04,4
South Africa vs Sri Lanka,South Africa,3,Rassie van der Dussen,out,108,110,161,13,2,98.18,4
South Africa vs Sri Lanka,Sri Lanka,4,Sadeera Samarawickrama,out,23,19,22,3,1,121.05,4
South Africa vs Sri Lanka,South Africa,2,Temba Bavuma (c),out,8,5,9,2,0,160,4
Australia vs India,Australia,10,Adam Zampa,out,6,20,28,0,0,30,5
Australia vs India,Australia,6,Alex Carey †,out,0,2,1,0,0,0,5
Australia vs India,Australia,7,Cameron Green,out,8,20,31,0,0,40,5
Australia vs India,Australia,1,David Warner,out,41,52,76,6,0,78.84,5
Australia vs India,Australia,5,Glenn Maxwell,out,15,25,44,1,0,60,5
Australia vs India,India,6,Hardik Pandya,not out,11,8,17,0,1,137.5,5
Australia vs India,India,2,Ishan Kishan,out,0,1,3,0,0,0,5
Australia vs India,Australia,11,Josh Hazlewood,not out,1,1,6,0,0,100,5
Australia vs India,India,5,KL Rahul †,not out,97,115,180,8,2,84.34,5
Australia vs India,Australia,4,Marnus Labuschagne,out,27,41,58,1,0,65.85,5
Australia vs India,Australia,2,Mitchell Marsh,out,0,6,11,0,0,0,5
Australia vs India,Australia,9,Mitchell Starc,out,28,35,58,2,1,80,5
Australia vs India,Australia,8,Pat Cummins (c),out,15,24,26,1,1,62.5,5
Australia vs India,India,1,Rohit Sharma (c),out,0,6,10,0,0,0,5
Australia vs India,India,4,Shreyas Iyer,out,0,3,2,0,0,0,5
Australia vs India,Australia,3,Steven Smith,out,46,71,112,5,0,64.78,5
Australia vs India,India,3,Virat Kohli,out,85,116,171,6,0,73.27,5
New Zealand vs Netherlands,Netherlands,10,Aryan Dutt,out,11,20,19,0,1,55,6
New Zealand vs Netherlands,Netherlands,4,Bas de Leede,out,18,25,21,3,0,72,6
New Zealand vs Netherlands,Netherlands,3,Colin Ackermann,out,69,73,98,5,0,94.52,6
New Zealand vs Netherlands,New Zealand,4,Daryl Mitchell,out,48,47,67,5,2,102.12,6
New Zealand vs Netherlands,New Zealand,1,Devon Conway,out,32,40,51,5,1,80,6
New Zealand vs Netherlands,New Zealand,6,Glenn Phillips,out,4,4,6,1,0,100,6
New Zealand vs Netherlands,New Zealand,7,Mark Chapman,out,5,13,11,0,0,38.46,6
New Zealand vs Netherlands,New Zealand,9,Matt Henry,not out,10,4,6,0,1,250,6
New Zealand vs Netherlands,Netherlands,2,Max O'Dowd,out,16,31,40,2,0,51.61,6
New Zealand vs Netherlands,New Zealand,8,Mitchell Santner,not out,36,17,25,3,2,211.76,6
New Zealand vs Netherlands,New Zealand,3,Rachin Ravindra,out,51,51,87,3,1,100,6
New Zealand vs Netherlands,Netherlands,8,Roelof van der Merwe,out,1,6,9,0,0,16.66,6
New Zealand vs Netherlands,Netherlands,9,Ryan Klein,out,8,15,23,0,0,53.33,6
New Zealand vs Netherlands,Netherlands,6,Scott Edwards (c)†,out,30,27,37,2,1,111.11,6
New Zealand vs Netherlands,Netherlands,7,Sybrand Engelbrecht,out,29,34,55,3,0,85.29,6
New Zealand vs Netherlands,Netherlands,5,Teja Nidamanuru,out,21,26,28,2,1,80.76,6
