name,link
Rohit Sharma ,https://staticg.sportskeeda.com/editor/2023/01/3e86f-16732438521095.png
Shubman Gill,https://staticg.sportskeeda.com/editor/2023/02/26770-16758659012635-1920.jpg
Virat Kohli,https://staticg.sportskeeda.com/editor/2023/01/91b37-16741295618495-1920.jpg
Shreyas Iyer,https://staticg.sportskeeda.com/editor/2023/02/497cd-16758660412607-1920.jpg
KL Rahul,https://staticg.sportskeeda.com/editor/2023/02/f2bb3-16758657596306-1920.jpg
Suryakumar Yadav.,https://staticg.sportskeeda.com/editor/2023/02/9fe3a-16758644119163-1920.jpg
Ishan Kishan,https://staticg.sportskeeda.com/editor/2023/02/5ea88-16760083890450-1920.jpg
Hardik Pandya ,https://staticg.sportskeeda.com/editor/2023/02/5f9be-16766303987094-1920.jpg
Ravindra Jadeja,https://staticg.sportskeeda.com/editor/2023/02/f6fd7-16762845387299-1920.jpg
Axar Patel,https://staticg.sportskeeda.com/editor/2023/02/29c8f-16760099800693-1920.jpg
Shardul Thakur,https://staticg.sportskeeda.com/editor/2023/02/edd7c-16762699097157-1920.jpg
Jasprit Bumrah,https://staticg.sportskeeda.com/editor/2023/02/35898-16762830205017-1920.jpg
Mohammed Siraj,https://staticg.sportskeeda.com/editor/2023/02/b22e2-16760104500343-1920.jpg
Kuldeep Yadav,https://staticg.sportskeeda.com/editor/2023/02/b76e4-16762671297921-1920.jpg
Mohammed Shami,https://staticg.sportskeeda.com/editor/2023/02/6cb15-16766110698213-1920.jpg
Pat Cummins ,https://staticg.sportskeeda.com/editor/2023/01/d6495-16741041831935.png
Steve Smith,https://staticg.sportskeeda.com/editor/2023/02/4a3c6-16766121781745-1920.jpg
Alex Carey,https://staticg.sportskeeda.com/editor/2023/02/c4c18-16766121389815-1920.jpg
Josh Inglis,https://staticg.sportskeeda.com/editor/2023/01/8c682-16751692155626.png
David Warner,https://staticg.sportskeeda.com/editor/2023/02/4d6fb-16766123161626-1920.jpg
Travis Head,https://staticg.sportskeeda.com/editor/2023/02/b003f-16766125469215-1920.jpg
Mitchell Starc,https://staticg.sportskeeda.com/editor/2023/03/41d0b-16786917514893-1920.jpg
Josh Hazlewood,https://staticg.sportskeeda.com/editor/2023/03/9408f-16789602864951-1920.jpg
Glenn Maxwell,https://staticg.sportskeeda.com/editor/2023/02/e0724-16766128408164-1920.jpg
Marcus Stoinis,https://staticg.sportskeeda.com/editor/2023/02/b8f98-16766128600093-1920.jpg
Cameron Green,https://staticg.sportskeeda.com/editor/2023/02/d5318-16762717930181-1920.jpg
Adam Zampa,https://staticg.sportskeeda.com/editor/2023/03/aac5f-16792878690594-1920.jpg
