Name,Age,Batting,Bowling,Position,Team
Kane Williamson,33y 34d,Right hand Bat,Right arm Offbreak,Top order Batter,New Zealand
Tom Latham,31y 162d,Left hand Bat,Right arm Medium,Wicketkeeper Batter,New Zealand
Devon Conway,32y 65d,Left hand Bat,Right arm Medium,Wicketkeeper Batter,New Zealand
Will Young,30y 293d,Right hand Bat,Right arm Offbreak,Top order Batter,New Zealand
Mark Chapman,29y 76d,Left hand Bat,Slow Left arm Orthodox,Allrounder,New Zealand
Daryl Mitchell,32y 114d,Right hand Bat,Right arm Medium,Batting Allrounder,New Zealand
James Neesham,32y 359d,Left hand Bat,Right arm Medium fast,Batting Allrounder,New Zealand
Glenn Phillips,26y 279d,Right hand Bat,Right arm Offbreak,Allrounder,New Zealand
Rachin Ravindra,23y 297d,Left hand Bat,Slow Left arm Orthodox,Batting Allrounder,New Zealand
Mitchell Santner,31y 218d,Left hand Bat,Slow Left arm Orthodox,Bowling Allrounder,New Zealand
Trent Boult,34y 51d,Right hand Bat,Left arm Fast medium,Bowler,New Zealand
Lockie Ferguson,32y 90d,Right hand Bat,Right arm Fast,Bowler,New Zealand
Kyle Jamieson,28y 255d,Right hand Bat,Right arm Fast medium,Bowler,New Zealand
Ish Sodhi,30y 315d,Right hand Bat,Legbreak,Bowler,New Zealand
Tim Southee,34y 274d,Right hand Bat,Right arm Medium fast,Bowler,New Zealand
Matt Henry,31y 271d,Right hand Bat,Right arm Fast medium,Bowler,New Zealand
Hashmatullah Shahidi,28y 313d,Left hand Bat,Right arm Offbreak,Top order Batter,Afghanistan
Ibrahim Zadran,21y 275d,Right hand Bat,Right arm Medium fast,Opening Batter,Afghanistan
Ikram Alikhil,22y 349d,Left hand Bat,,Wicketkeeper Batter,Afghanistan
Najibullah Zadran,30y 197d,Left hand Bat,Right arm Offbreak,Middle order Batter,Afghanistan
Rahmanullah Gurbaz,21y 289d,Right hand Bat,,Wicketkeeper Batter,Afghanistan
Riaz Hassan,20y 310d,Right hand Bat,,Batter,Afghanistan
Azmatullah Omarzai,23y 173d,Right hand Bat,Right arm Medium fast,Allrounder,Afghanistan
Mohammad Nabi,38y 255d,Right hand Bat,Right arm Offbreak,Allrounder,Afghanistan
Rahmat Shah,30y 69d,Right hand Bat,Legbreak Googly,Allrounder,Afghanistan
Rashid Khan,24y 358d,Right hand Bat,Legbreak Googly,Bowling Allrounder,Afghanistan
Abdul Rahman,21y 295d,Right hand Bat,Right arm Fast medium,Bowler,Afghanistan
Fazalhaq Farooqi,22y 356d,Right hand Bat,Left arm Fast medium,Bowler,Afghanistan
Mujeeb Ur Rahman,22y 169d,Right hand Bat,Right arm Offbreak,Bowler,Afghanistan
Naveen-ul-Haq,23y 355d,Right hand Bat,Right arm Medium fast,Bowler,Afghanistan
Noor Ahmad,18y 253d,Right hand Bat,Left arm Wrist spin,Bowler,Afghanistan
Alex Carey,32y 10d,Left hand Bat,,Wicketkeeper Batter,Australia
Travis Head,29y 251d,Left hand Bat,Right arm Offbreak,Middle order Batter,Australia
Josh Inglis,28y 186d,Right hand Bat,,Wicketkeeper Batter,Australia
Marnus Labuschagne,29y 76d,Right hand Bat,Legbreak,Batter,Australia
Steven Smith,34y 96d,Right hand Bat,Legbreak Googly,Top order Batter,Australia
David Warner,36y 314d,Left hand Bat,Legbreak,Opening Batter,Australia
Sean Abbott,31y 190d,Right hand Bat,Right arm Fast medium,Bowling Allrounder,Australia
